,ServicingLenderName,idservicinglender,BorrowerState,CurrentApprovalAmount_Tatal,CurrentApprovalAmount_Count,Symbol
311,The Huntington National Bank,2,TX,64880540.04,168,0
312,The Huntington National Bank,2,AZ,56064720.86,195,0
313,The Huntington National Bank,2,NC,54269693.1,191,0
314,The Huntington National Bank,2,NY,51179698.36,217,0
315,The Huntington National Bank,2,CO,42044933.39,1037,0
316,The Huntington National Bank,2,NJ,34397002.48,98,0
317,The Huntington National Bank,2,MA,32194745.7,74,0
318,The Huntington National Bank,2,TN,24860520.58,57,0
319,The Huntington National Bank,2,MD,18263122.83,70,0
320,The Huntington National Bank,2,GA,16848090.76,127,0
321,The Huntington National Bank,2,RI,14960778.5,26,0
322,The Huntington National Bank,2,KS,13664338.24,14,0
323,The Huntington National Bank,2,WY,11721014.41,7,0
324,The Huntington National Bank,2,OR,11662973.87,44,0
325,The Huntington National Bank,2,WA,11190024.16,42,0
326,The Huntington National Bank,2,ME,10663169.0,9,0
327,The Huntington National Bank,2,SC,10597855.27,58,0
328,The Huntington National Bank,2,MO,10565903.27,28,0
329,The Huntington National Bank,2,AL,10058732.84,29,0
330,The Huntington National Bank,2,IA,8453206.31,13,0
331,The Huntington National Bank,2,CT,7108244.1,23,0
332,The Huntington National Bank,2,VA,5719405.05,62,0
333,The Huntington National Bank,2,DC,4080361.75,10,0
334,The Huntington National Bank,2,NV,3489232.81,36,0
335,The Huntington National Bank,2,AR,3118605.35,3,0
336,The Huntington National Bank,2,LA,2913155.34,21,0
337,The Huntington National Bank,2,SD,1848125.17,14,0
338,The Huntington National Bank,2,HI,1793596.5,9,0
339,The Huntington National Bank,2,OK,1509755.07,9,0
340,The Huntington National Bank,2,UT,1359650.0,4,0
341,The Huntington National Bank,2,MS,1137730.41,6,0
342,The Huntington National Bank,2,NH,887110.95,6,0
343,The Huntington National Bank,2,DE,751911.9,11,0
344,The Huntington National Bank,2,NM,636419.92,6,0
345,The Huntington National Bank,2,VI,383512.0,4,0
346,The Huntington National Bank,2,AK,357667.62,5,0
347,The Huntington National Bank,2,ND,305939.15,4,0
348,The Huntington National Bank,2,ID,133817.1,2,0
349,The Huntington National Bank,2,NE,72891.84,3,0
350,The Huntington National Bank,2,VT,36016.32,3,0
351,The Huntington National Bank,2,MT,22552.29,2,0
352,"PNC Bank, National Association",7,PA,3495198381.75,22440,ZION
353,"PNC Bank, National Association",7,OH,2804848524.59,16597,ZION
354,"PNC Bank, National Association",7,NJ,1940126586.27,15366,ZION
355,"PNC Bank, National Association",7,TX,1887011423.27,16247,ZION
356,"PNC Bank, National Association",7,FL,1651365392.99,13367,ZION
357,"PNC Bank, National Association",7,MI,1535284692.89,9371,ZION
358,"PNC Bank, National Association",7,MD,1052346362.75,8820,ZION
359,"PNC Bank, National Association",7,IL,912825364.78,7066,ZION
360,"PNC Bank, National Association",7,NC,858254007.2,5527,ZION
361,"PNC Bank, National Association",7,IN,609066582.02,4927,ZION
362,"PNC Bank, National Association",7,KY,519771646.75,3794,ZION
363,"PNC Bank, National Association",7,AZ,484175429.08,3485,ZION
364,"PNC Bank, National Association",7,AL,477908708.7,4649,ZION
365,"PNC Bank, National Association",7,VA,469691383.77,3352,ZION
366,"PNC Bank, National Association",7,CA,462202092.15,2319,ZION
367,"PNC Bank, National Association",7,CO,352868461.35,1813,ZION
368,"PNC Bank, National Association",7,GA,290636266.5,2384,ZION
369,"PNC Bank, National Association",7,MO,260731568.65,1707,ZION
370,"PNC Bank, National Association",7,NY,252716120.05,748,ZION
371,"PNC Bank, National Association",7,DC,252110012.0,1402,ZION
372,"PNC Bank, National Association",7,DE,208255335.0,1811,ZION
373,"PNC Bank, National Association",7,WI,179839328.0,1073,ZION
374,"PNC Bank, National Association",7,SC,93411770.0,478,ZION
375,"PNC Bank, National Association",7,NM,74411320.0,592,ZION
376,"PNC Bank, National Association",7,MN,41952558.0,53,ZION
377,"PNC Bank, National Association",7,TN,41133622.92,93,ZION
378,"PNC Bank, National Association",7,WV,34809202.0,141,ZION
379,"PNC Bank, National Association",7,CT,21910687.0,56,ZION
380,"PNC Bank, National Association",7,AK,18542140.0,9,ZION
381,"PNC Bank, National Association",7,LA,17700085.86,43,ZION
382,"PNC Bank, National Association",7,MA,17362014.0,41,ZION
383,"PNC Bank, National Association",7,OR,17288927.0,17,ZION
384,"PNC Bank, National Association",7,WA,13716383.0,27,ZION
385,"PNC Bank, National Association",7,OK,10122755.65,20,ZION
386,"PNC Bank, National Association",7,UT,9856517.85,19,ZION
387,"PNC Bank, National Association",7,NV,9789031.46,44,ZION
388,"PNC Bank, National Association",7,KS,7149987.42,18,ZION
389,"PNC Bank, National Association",7,MT,3805037.0,5,ZION
